id,value,category,amount
1,464,cat_1,464
2,876,cat_2,876
3,147,cat_3,147
4,86,cat_4,86
5,934,cat_0,934
6,59,cat_1,59
7,726,cat_2,726
8,296,cat_3,296
9,252,cat_4,252
10,271,cat_0,271
11,558,cat_1,558
12,615,cat_2,615
13,774,cat_3,774
14,198,cat_4,198
15,893,cat_0,893
16,796,cat_1,796
17,880,cat_2,880
18,747,cat_3,747
19,378,cat_4,378
20,316,cat_0,316
21,722,cat_1,722
22,45,cat_2,45
23,26,cat_3,26
24,12,cat_4,12
25,357,cat_0,357
26,835,cat_1,835
27,270,cat_2,270
28,344,cat_3,344
29,212,cat_4,212
30,9,cat_0,9
31,639,cat_1,639
32,383,cat_2,383
33,974,cat_3,974
34,142,cat_4,142
35,324,cat_0,324
36,136,cat_1,136
37,720,cat_2,720
38,881,cat_3,881
39,342,cat_4,342
40,271,cat_0,271
41,653,cat_1,653
42,849,cat_2,849
43,47,cat_3,47
44,823,cat_4,823
45,161,cat_0,161
46,192,cat_1,192
47,3,cat_2,3
48,833,cat_3,833
49,464,cat_4,464
50,373,cat_0,373
51,640,cat_1,640
52,369,cat_2,369
53,559,cat_3,559
54,118,cat_4,118
55,762,cat_0,762
56,241,cat_1,241
57,928,cat_2,928
58,699,cat_3,699
59,500,cat_4,500
60,821,cat_0,821
61,650,cat_1,650
62,544,cat_2,544
63,86,cat_3,86
64,947,cat_4,947
65,452,cat_0,452
66,252,cat_1,252
67,851,cat_2,851
68,692,cat_3,692
69,228,cat_4,228
70,66,cat_0,66
71,156,cat_1,156
72,25,cat_2,25
73,273,cat_3,273
74,903,cat_4,903
75,864,cat_0,864
76,914,cat_1,914
77,487,cat_2,487
78,186,cat_3,186
79,88,cat_4,88
80,868,cat_0,868
81,795,cat_1,795
82,616,cat_2,616
83,302,cat_3,302
84,444,cat_4,444
85,911,cat_0,911
86,117,cat_1,117
87,918,cat_2,918
88,388,cat_3,388
89,194,cat_4,194
90,212,cat_0,212
91,861,cat_1,861
92,302,cat_2,302
93,125,cat_3,125
94,948,cat_4,948
95,762,cat_0,762
96,38,cat_1,38
97,902,cat_2,902
98,971,cat_3,971
99,89,cat_4,89
100,304,cat_0,304
101,236,cat_1,236
102,355,cat_2,355
103,205,cat_3,205
104,168,cat_4,168
105,125,cat_0,125
106,681,cat_1,681
107,12,cat_2,12
108,260,cat_3,260
109,211,cat_4,211
110,948,cat_0,948
111,609,cat_1,609
112,533,cat_2,533
113,624,cat_3,624
114,785,cat_4,785
115,333,cat_0,333
116,733,cat_1,733
117,507,cat_2,507
118,309,cat_3,309
119,134,cat_4,134
120,382,cat_0,382
121,66,cat_1,66
122,358,cat_2,358
123,504,cat_3,504
124,275,cat_4,275
125,116,cat_0,116
126,986,cat_1,986
127,296,cat_2,296
128,735,cat_3,735
129,732,cat_4,732
130,286,cat_0,286
131,462,cat_1,462
132,341,cat_2,341
133,364,cat_3,364
134,744,cat_4,744
135,128,cat_0,128
136,282,cat_1,282
137,220,cat_2,220
138,195,cat_3,195
139,923,cat_4,923
140,639,cat_0,639
141,69,cat_1,69
142,144,cat_2,144
143,363,cat_3,363
144,285,cat_4,285
145,782,cat_0,782
146,59,cat_1,59
147,513,cat_2,513
148,788,cat_3,788
149,749,cat_4,749
150,125,cat_0,125
151,534,cat_1,534
152,907,cat_2,907
153,289,cat_3,289
154,477,cat_4,477
155,448,cat_0,448
156,930,cat_1,930
157,680,cat_2,680
158,695,cat_3,695
159,388,cat_4,388
160,269,cat_0,269
161,734,cat_1,734
162,228,cat_2,228
163,102,cat_3,102
164,857,cat_4,857
165,459,cat_0,459
166,459,cat_1,459
167,536,cat_2,536
168,969,cat_3,969
169,551,cat_4,551
170,639,cat_0,639
171,893,cat_1,893
172,445,cat_2,445
173,830,cat_3,830
174,356,cat_4,356
175,978,cat_0,978
176,549,cat_1,549
177,418,cat_2,418
178,651,cat_3,651
179,569,cat_4,569
180,104,cat_0,104
181,360,cat_1,360
182,560,cat_2,560
183,200,cat_3,200
184,764,cat_4,764
185,575,cat_0,575
186,86,cat_1,86
187,864,cat_2,864
188,57,cat_3,57
189,599,cat_4,599
190,695,cat_0,695
191,988,cat_1,988
192,390,cat_2,390
193,268,cat_3,268
194,506,cat_4,506
195,616,cat_0,616
196,178,cat_1,178
197,18,cat_2,18
198,231,cat_3,231
199,111,cat_4,111
200,979,cat_0,979
201,316,cat_1,316
202,281,cat_2,281
203,83,cat_3,83
204,651,cat_4,651
205,270,cat_0,270
206,630,cat_1,630
207,920,cat_2,920
208,590,cat_3,590
209,94,cat_4,94
210,676,cat_0,676
211,20,cat_1,20
212,151,cat_2,151
213,135,cat_3,135
214,743,cat_4,743
215,673,cat_0,673
216,733,cat_1,733
217,811,cat_2,811
218,807,cat_3,807
219,555,cat_4,555
220,926,cat_0,926
221,243,cat_1,243
222,528,cat_2,528
223,132,cat_3,132
224,418,cat_4,418
225,167,cat_0,167
226,633,cat_1,633
227,617,cat_2,617
228,703,cat_3,703
229,286,cat_4,286
230,847,cat_0,847
231,254,cat_1,254
232,282,cat_2,282
233,910,cat_3,910
234,402,cat_4,402
235,797,cat_0,797
236,352,cat_1,352
237,964,cat_2,964
238,261,cat_3,261
239,699,cat_4,699
240,393,cat_0,393
241,517,cat_1,517
242,273,cat_2,273
243,542,cat_3,542
244,140,cat_4,140
245,886,cat_0,886
246,965,cat_1,965
247,380,cat_2,380
248,901,cat_3,901
249,860,cat_4,860
250,15,cat_0,15
251,299,cat_1,299
252,262,cat_2,262
253,854,cat_3,854
254,418,cat_4,418
255,414,cat_0,414
256,538,cat_1,538
257,553,cat_2,553
258,121,cat_3,121
259,645,cat_4,645
260,933,cat_0,933
261,622,cat_1,622
262,933,cat_2,933
263,51,cat_3,51
264,295,cat_4,295
265,731,cat_0,731
266,276,cat_1,276
267,959,cat_2,959
268,729,cat_3,729
269,194,cat_4,194
270,386,cat_0,386
271,426,cat_1,426
272,490,cat_2,490
273,337,cat_3,337
274,16,cat_4,16
275,959,cat_0,959
276,893,cat_1,893
277,456,cat_2,456
278,754,cat_3,754
279,693,cat_4,693
280,584,cat_0,584
281,853,cat_1,853
282,622,cat_2,622
283,837,cat_3,837
284,279,cat_4,279
285,317,cat_0,317
286,582,cat_1,582
287,939,cat_2,939
288,975,cat_3,975
289,549,cat_4,549
290,221,cat_0,221
291,210,cat_1,210
292,626,cat_2,626
293,143,cat_3,143
294,156,cat_4,156
295,723,cat_0,723
296,862,cat_1,862
297,280,cat_2,280
298,601,cat_3,601
299,45,cat_4,45
300,545,cat_0,545
301,707,cat_1,707
302,143,cat_2,143
303,931,cat_3,931
304,429,cat_4,429
305,259,cat_0,259
306,735,cat_1,735
307,835,cat_2,835
308,108,cat_3,108
309,623,cat_4,623
310,951,cat_0,951
311,488,cat_1,488
312,814,cat_2,814
313,344,cat_3,344
314,803,cat_4,803
315,208,cat_0,208
316,684,cat_1,684
317,481,cat_2,481
318,352,cat_3,352
319,15,cat_4,15
320,284,cat_0,284
321,773,cat_1,773
322,580,cat_2,580
323,490,cat_3,490
324,545,cat_4,545
325,579,cat_0,579
326,441,cat_1,441
327,819,cat_2,819
328,33,cat_3,33
329,469,cat_4,469
330,24,cat_0,24
331,550,cat_1,550
332,523,cat_2,523
333,374,cat_3,374
334,50,cat_4,50
335,349,cat_0,349
336,643,cat_1,643
337,30,cat_2,30
338,947,cat_3,947
339,411,cat_4,411
340,22,cat_0,22
341,724,cat_1,724
342,389,cat_2,389
343,410,cat_3,410
344,110,cat_4,110
345,691,cat_0,691
346,346,cat_1,346
347,806,cat_2,806
348,462,cat_3,462
349,17,cat_4,17
350,964,cat_0,964
351,734,cat_1,734
352,297,cat_2,297
353,728,cat_3,728
354,839,cat_4,839
355,119,cat_0,119
356,90,cat_1,90
357,549,cat_2,549
358,423,cat_3,423
359,48,cat_4,48
360,672,cat_0,672
361,181,cat_1,181
362,592,cat_2,592
363,442,cat_3,442
364,412,cat_4,412
365,38,cat_0,38
366,697,cat_1,697
367,258,cat_2,258
368,867,cat_3,867
369,252,cat_4,252
370,292,cat_0,292
371,464,cat_1,464
