build_id,project,agent,queued_epoch,started_epoch,finished_epoch
10001,xTrader2 / Trading Services / Pricing / Analytics / master,tcbuild21-agent1,1788940500,1788940740,1788942000
10002,xTrader2 / Trading Services / Pricing / UnitTests / master,tcbuild21-agent2,1788940500,1788940740,1788942000
10003,xTrader2 / Trading Services / Pricing / UnitTests / master,tcbuild21-agent3,1788940500,1788940740,1788942000
10004,xTrader2 / Trading Services / Pricing / UnitTests / master,tcbuild21-agent4,1788940500,1788940740,1788942000
10005,xTrader2 / Trading Services / Pricing / UnitTests / master,tcbuild21-agent5,1788940500,1788940740,1788942000
10006,xTrader2 / Trading Services / Pricing / UnitTests / master,tcbuild21-agent1,1788940920,1788942000,1788942300
10007,xTrader2 / Trading Services / Pricing / UnitTests / master,tcbuild21-agent1,1788941100,1788942000,1788942300
10008,xTrader2 / Trading Services / Pricing / UnitTests / master,tcbuild21-agent1,1788941280,1788942000,1788942300
10009,xTrader2 / Trading Services / Pricing / UnitTests / master,tcbuild21-agent1,1788941460,1788942000,1788942300
10010,xTrader2 / Trading Services / Pricing / Analytics / master,tcbuild22-agent1,1788940500,1788940740,1788942000
10011,xTrader2 / Trading Services / Pricing / UnitTests / master,tcbuild22-agent2,1788940500,1788940740,1788942000
10012,xTrader2 / Trading Services / Pricing / UnitTests / master,tcbuild22-agent3,1788940500,1788940740,1788942000
10013,xTrader2 / Trading Services / Pricing / UnitTests / master,tcbuild22-agent4,1788940500,1788940740,1788942000
10014,xTrader2 / Trading Services / Pricing / UnitTests / master,tcbuild22-agent5,1788940500,1788940740,1788942000
10015,xTrader2 / Trading Services / Pricing / UnitTests / master,tcbuild22-agent1,1788940920,1788942000,1788942300
10016,xTrader2 / Trading Services / Pricing / UnitTests / master,tcbuild22-agent1,1788941100,1788942000,1788942300
10017,xTrader2 / Trading Services / Pricing / UnitTests / master,tcbuild22-agent1,1788941280,1788942000,1788942300
10018,xTrader2 / Trading Services / Pricing / UnitTests / master,tcbuild22-agent1,1788941460,1788942000,1788942300
10019,xTrader2 / Tools / Packaging / release,tcbuild23-agent1,1788941900,1788942000,1788943200
10020,xTrader2 / Tools / Packaging / release,tcbuild23-agent2,1788941900,1788942000,1788943200
10021,xTrader2 / Tools / Packaging / release,tcbuild23-agent3,1788941900,1788942000,1788943200
10022,xTrader2 / Tools / Packaging / release,tcbuild23-agent4,1788941900,1788942000,1788943200
10023,xTrader2 / Tools / Packaging / release,tcbuild23-agent5,1788941900,1788942000,1788943200
10024,xTrader2 / Tools / Packaging / release,tcbuild23-agent1,1788942120,1788943200,1788943500
10025,xTrader2 / Tools / Packaging / release,tcbuild23-agent1,1788942300,1788943200,1788943500
10026,xTrader2 / Tools / Packaging / release,tcbuild23-agent1,1788942480,1788943200,1788943500
10027,xTrader2 / Tools / Packaging / release,tcbuild23-agent1,1788942660,1788943200,1788943500
10028,xTrader2 / Tools / Packaging / release,tcbuild24-agent1,1788941900,1788942000,1788943200
10029,xTrader2 / Tools / Packaging / release,tcbuild24-agent2,1788941900,1788942000,1788943200
10030,xTrader2 / Tools / Packaging / release,tcbuild24-agent3,1788941900,1788942000,1788943200
10031,xTrader2 / Tools / Packaging / release,tcbuild24-agent4,1788941900,1788942000,1788943200
10032,xTrader2 / Tools / Packaging / release,tcbuild24-agent5,1788941900,1788942000,1788943200
10033,xTrader2 / Tools / Packaging / release,tcbuild24-agent1,1788942120,1788943200,1788943500
10034,xTrader2 / Tools / Packaging / release,tcbuild24-agent1,1788942300,1788943200,1788943500
10035,xTrader2 / Tools / Packaging / release,tcbuild24-agent1,1788942480,1788943200,1788943500
10036,xTrader2 / Tools / Packaging / release,tcbuild24-agent1,1788942660,1788943200,1788943500
10037,xTrader2 / Risk / Limits / nightly,tcbuild25-agent1,1788943100,1788943200,1788944400
10038,xTrader2 / Risk / Limits / nightly,tcbuild25-agent2,1788943100,1788943200,1788944400
10039,xTrader2 / Risk / Limits / nightly,tcbuild25-agent1,1788943300,1788944400,1788944700
10040,xTrader2 / Risk / Limits / nightly,tcbuild25-agent1,1788943500,1788944400,1788944700
10041,xTrader2 / Risk / Limits / nightly,tcbuild25-agent1,1788943700,1788944400,1788944700
10042,xTrader2 / Risk / Limits / nightly,tcbuild26-agent1,1788943100,1788943200,1788944400
10043,xTrader2 / Risk / Limits / nightly,tcbuild26-agent2,1788943100,1788943200,1788944400
10044,xTrader2 / Risk / Limits / nightly,tcbuild26-agent1,1788943300,1788944400,1788944700
10045,xTrader2 / Risk / Limits / nightly,tcbuild26-agent1,1788943500,1788944400,1788944700
10046,xTrader2 / Risk / Limits / nightly,tcbuild26-agent1,1788943700,1788944400,1788944700
