algo_strategy,average_price,client_order_id,event_type,fade_reason,filled_quantity,hour,order_id,order_level,order_type,parent_order_id,quantity,record_id,reject_reason,remaining_quantity,side,snapshot_time,state,ticker,urgency,venue
,0.0,C20241216_MEGA,NEW,,0,,CLIENT_001,0,CLIENT,,2000000,REC_00000000,,2000000,Buy,2025-08-12T09:00:00,PENDING,ASML.AS,,
VWAP,0.0,C20241216_MEGA,NEW,,0,,ALGO_001,1,ALGO_PARENT,CLIENT_001,2000000,REC_00000001,,2000000,Buy,2025-08-12T09:00:01,WORKING,ASML.AS,,
,0.0,C20241216_MEGA,NEW,,0,,SLICE_00001,2,ALGO_SLICE,ALGO_001,5805,REC_00000002,,5805,Buy,2025-08-12T09:01:39,PENDING,ASML.AS,CRITICAL,
,650.0450214409012,C20241216_MEGA,VENUE_FILLED,,1935,,SOR_000001,3,ROUTE,SLICE_00001,1935,REC_00000003,,0,Buy,2025-08-12T09:01:39,FILLED,ASML.AS,,NYSE
,650.0262485068171,C20241216_MEGA,VENUE_FILLED,,1935,,SOR_000002,3,ROUTE,SLICE_00001,1935,REC_00000004,,0,Buy,2025-08-12T09:01:39.050000,FILLED,ASML.AS,,NASDAQ
,650.0241606822825,C20241216_MEGA,VENUE_FILLED,,1935,,SOR_000003,3,ROUTE,SLICE_00001,1935,REC_00000005,,0,Buy,2025-08-12T09:01:39.100000,FILLED,ASML.AS,,ARCA
,0.0,C20241216_MEGA,NEW,,0,,SLICE_00002,2,ALGO_SLICE,ALGO_001,7248,REC_00000006,,7248,Buy,2025-08-12T09:02:15,PENDING,ASML.AS,CRITICAL,
,650.0398306203239,C20241216_MEGA,VENUE_FILLED,,2416,,SOR_000004,3,ROUTE,SLICE_00002,2416,REC_00000007,,0,Buy,2025-08-12T09:02:15,FILLED,ASML.AS,,NYSE
,650.0282562617758,C20241216_MEGA,VENUE_FILLED,,2416,,SOR_000005,3,ROUTE,SLICE_00002,2416,REC_00000008,,0,Buy,2025-08-12T09:02:15.050000,FILLED,ASML.AS,,NASDAQ
,650.0333221064406,C20241216_MEGA,VENUE_FILLED,,2416,,SOR_000006,3,ROUTE,SLICE_00002,2416,REC_00000009,,0,Buy,2025-08-12T09:02:15.100000,FILLED,ASML.AS,,ARCA
,0.0,C20241216_MEGA,NEW,,0,,SLICE_00003,2,ALGO_SLICE,ALGO_001,5015,REC_00000010,,5015,Buy,2025-08-12T09:03:54,PENDING,ASML.AS,CRITICAL,
,650.0461979562938,C20241216_MEGA,VENUE_PARTIAL,,835,,SOR_000007,3,ROUTE,SLICE_00003,1671,REC_00000011,,836,Buy,2025-08-12T09:03:54,PARTIAL,ASML.AS,,NYSE
,650.031581745952,C20241216_MEGA,VENUE_PARTIAL,,835,,SOR_000008,3,ROUTE,SLICE_00003,1671,REC_00000012,,836,Buy,2025-08-12T09:03:54.050000,PARTIAL,ASML.AS,,NASDAQ
,650.0409250758898,C20241216_MEGA,VENUE_PARTIAL,,835,,SOR_000009,3,ROUTE,SLICE_00003,1671,REC_00000013,,836,Buy,2025-08-12T09:03:54.100000,PARTIAL,ASML.AS,,ARCA
,0.0,C20241216_MEGA,NEW,,0,,SLICE_00004,2,ALGO_SLICE,ALGO_001,5917,REC_00000014,,5917,Buy,2025-08-12T09:05:07,PENDING,ASML.AS,CRITICAL,
,650.0230119363827,C20241216_MEGA,VENUE_FILLED,,1972,,SOR_000010,3,ROUTE,SLICE_00004,1972,REC_00000015,,0,Buy,2025-08-12T09:05:07,FILLED,ASML.AS,,NYSE
,650.0264166697151,C20241216_MEGA,VENUE_FILLED,,1972,,SOR_000011,3,ROUTE,SLICE_00004,1972,REC_00000016,,0,Buy,2025-08-12T09:05:07.050000,FILLED,ASML.AS,,NASDAQ
,650.0450474046819,C20241216_MEGA,VENUE_FILLED,,1972,,SOR_000012,3,ROUTE,SLICE_00004,1972,REC_00000017,,0,Buy,2025-08-12T09:05:07.100000,FILLED,ASML.AS,,ARCA
,0.0,C20241216_MEGA,NEW,,0,,SLICE_00005,2,ALGO_SLICE,ALGO_001,7868,REC_00000018,,7868,Buy,2025-08-12T09:06:05,PENDING,ASML.AS,CRITICAL,
,650.0393263886011,C20241216_MEGA,VENUE_FILLED,,2622,,SOR_000013,3,ROUTE,SLICE_00005,2622,REC_00000019,,0,Buy,2025-08-12T09:06:05,FILLED,ASML.AS,,NYSE
,650.0380475655318,C20241216_MEGA,VENUE_FILLED,,2622,,SOR_000014,3,ROUTE,SLICE_00005,2622,REC_00000020,,0,Buy,2025-08-12T09:06:05.050000,FILLED,ASML.AS,,NASDAQ
,650.0237006079499,C20241216_MEGA,VENUE_FILLED,,2622,,SOR_000015,3,ROUTE,SLICE_00005,2622,REC_00000021,,0,Buy,2025-08-12T09:06:05.100000,FILLED,ASML.AS,,ARCA
,0.0,C20241216_MEGA,NEW,,0,,SLICE_00006,2,ALGO_SLICE,ALGO_001,4871,REC_00000022,,4871,Buy,2025-08-12T09:07:38,PENDING,ASML.AS,CRITICAL,
