id,value,category,amount
1,380,cat_1,380
2,862,cat_2,862
3,262,cat_3,262
4,657,cat_4,657
5,216,cat_0,216
6,606,cat_1,606
7,127,cat_2,127
8,892,cat_3,892
9,47,cat_4,47
10,567,cat_0,567
11,283,cat_1,283
12,919,cat_2,919
13,936,cat_3,936
14,244,cat_4,244
15,903,cat_0,903
16,278,cat_1,278
17,141,cat_2,141
18,426,cat_3,426
19,445,cat_4,445
20,826,cat_0,826
21,846,cat_1,846
22,100,cat_2,100
23,153,cat_3,153
24,323,cat_4,323
25,766,cat_0,766
26,245,cat_1,245
27,150,cat_2,150
28,18,cat_3,18
29,109,cat_4,109
30,620,cat_0,620
31,309,cat_1,309
32,879,cat_2,879
33,698,cat_3,698
34,791,cat_4,791
35,774,cat_0,774
36,65,cat_1,65
37,297,cat_2,297
38,605,cat_3,605
39,177,cat_4,177
40,542,cat_0,542
41,333,cat_1,333
42,116,cat_2,116
43,672,cat_3,672
44,329,cat_4,329
45,724,cat_0,724
46,746,cat_1,746
47,407,cat_2,407
48,965,cat_3,965
49,256,cat_4,256
50,1,cat_0,1
51,100,cat_1,100
52,891,cat_2,891
53,570,cat_3,570
54,620,cat_4,620
55,6,cat_0,6
56,166,cat_1,166
57,370,cat_2,370
58,52,cat_3,52
59,756,cat_4,756
60,182,cat_0,182
61,288,cat_1,288
62,986,cat_2,986
63,934,cat_3,934
64,932,cat_4,932
65,160,cat_0,160
66,721,cat_1,721
67,488,cat_2,488
68,12,cat_3,12
69,977,cat_4,977
70,322,cat_0,322
71,453,cat_1,453
72,780,cat_2,780
73,297,cat_3,297
74,338,cat_4,338
75,435,cat_0,435
76,816,cat_1,816
77,994,cat_2,994
78,133,cat_3,133
79,793,cat_4,793
80,432,cat_0,432
81,110,cat_1,110
82,336,cat_2,336
83,985,cat_3,985
84,783,cat_4,783
85,162,cat_0,162
86,779,cat_1,779
87,258,cat_2,258
88,591,cat_3,591
89,295,cat_4,295
90,151,cat_0,151
91,770,cat_1,770
92,416,cat_2,416
93,729,cat_3,729
94,41,cat_4,41
95,729,cat_0,729
96,366,cat_1,366
97,361,cat_2,361
98,25,cat_3,25
99,778,cat_4,778
100,259,cat_0,259
101,346,cat_1,346
102,817,cat_2,817
103,859,cat_3,859
104,458,cat_4,458
105,576,cat_0,576
106,244,cat_1,244
107,724,cat_2,724
108,306,cat_3,306
109,23,cat_4,23
110,650,cat_0,650
111,656,cat_1,656
112,364,cat_2,364
113,386,cat_3,386
114,982,cat_4,982
115,987,cat_0,987
116,736,cat_1,736
117,249,cat_2,249
118,882,cat_3,882
119,100,cat_4,100
120,54,cat_0,54
121,135,cat_1,135
122,826,cat_2,826
123,750,cat_3,750
124,240,cat_4,240
125,926,cat_0,926
126,720,cat_1,720
127,27,cat_2,27
128,940,cat_3,940
129,458,cat_4,458
130,621,cat_0,621
131,644,cat_1,644
132,344,cat_2,344
