host,ts_epoch,cpu_pct
tcbuild21,1788940800,0.97
tcbuild21,1788940860,0.97
tcbuild21,1788940920,0.97
tcbuild21,1788940980,0.97
tcbuild21,1788941040,0.97
tcbuild21,1788941100,0.97
tcbuild21,1788941160,0.97
tcbuild21,1788941220,0.97
tcbuild21,1788941280,0.97
tcbuild21,1788941340,0.97
tcbuild21,1788941400,0.97
tcbuild21,1788941460,0.97
tcbuild21,1788941520,0.97
tcbuild21,1788941580,0.97
tcbuild21,1788941640,0.97
tcbuild21,1788941700,0.97
tcbuild21,1788941760,0.97
tcbuild21,1788941820,0.97
tcbuild21,1788941880,0.97
tcbuild21,1788941940,0.97
tcbuild21,1788942000,0.97
tcbuild21,1788942060,0.97
tcbuild21,1788942120,0.97
tcbuild21,1788942180,0.35
tcbuild21,1788942240,0.35
tcbuild21,1788942300,0.35
tcbuild21,1788942360,0.35
tcbuild21,1788942420,0.35
tcbuild21,1788942480,0.35
tcbuild21,1788942540,0.35
tcbuild21,1788942600,0.35
tcbuild21,1788942660,0.35
tcbuild21,1788942720,0.35
tcbuild21,1788942780,0.35
tcbuild21,1788942840,0.35
tcbuild21,1788942900,0.35
tcbuild21,1788942960,0.35
tcbuild21,1788943020,0.35
tcbuild21,1788943080,0.35
tcbuild21,1788943140,0.35
tcbuild21,1788943200,0.35
tcbuild21,1788943260,0.35
tcbuild21,1788943320,0.35
tcbuild21,1788943380,0.35
tcbuild21,1788943440,0.35
tcbuild21,1788943500,0.35
tcbuild21,1788943560,0.35
tcbuild21,1788943620,0.35
tcbuild21,1788943680,0.35
tcbuild21,1788943740,0.35
tcbuild21,1788943800,0.35
tcbuild21,1788943860,0.35
tcbuild21,1788943920,0.35
tcbuild21,1788943980,0.35
tcbuild21,1788944040,0.35
tcbuild21,1788944100,0.35
tcbuild21,1788944160,0.35
tcbuild21,1788944220,0.35
tcbuild21,1788944280,0.35
tcbuild21,1788944340,0.35
tcbuild21,1788944400,0.35
tcbuild22,1788940800,0.97
tcbuild22,1788940860,0.97
tcbuild22,1788940920,0.97
tcbuild22,1788940980,0.97
tcbuild22,1788941040,0.97
tcbuild22,1788941100,0.97
tcbuild22,1788941160,0.97
tcbuild22,1788941220,0.97
tcbuild22,1788941280,0.97
tcbuild22,1788941340,0.97
tcbuild22,1788941400,0.97
tcbuild22,1788941460,0.97
tcbuild22,1788941520,0.97
tcbuild22,1788941580,0.97
tcbuild22,1788941640,0.97
tcbuild22,1788941700,0.97
tcbuild22,1788941760,0.97
tcbuild22,1788941820,0.97
tcbuild22,1788941880,0.97
tcbuild22,1788941940,0.97
tcbuild22,1788942000,0.97
tcbuild22,1788942060,0.97
tcbuild22,1788942120,0.97
tcbuild22,1788942180,0.35
tcbuild22,1788942240,0.35
tcbuild22,1788942300,0.35
tcbuild22,1788942360,0.35
tcbuild22,1788942420,0.35
tcbuild22,1788942480,0.35
tcbuild22,1788942540,0.35
tcbuild22,1788942600,0.35
tcbuild22,1788942660,0.35
tcbuild22,1788942720,0.35
tcbuild22,1788942780,0.35
tcbuild22,1788942840,0.35
tcbuild22,1788942900,0.35
tcbuild22,1788942960,0.35
tcbuild22,1788943020,0.35
tcbuild22,1788943080,0.35
tcbuild22,1788943140,0.35
tcbuild22,1788943200,0.35
tcbuild22,1788943260,0.35
tcbuild22,1788943320,0.35
tcbuild22,1788943380,0.35
tcbuild22,1788943440,0.35
tcbuild22,1788943500,0.35
tcbuild22,1788943560,0.35
tcbuild22,1788943620,0.35
tcbuild22,1788943680,0.35
tcbuild22,1788943740,0.35
tcbuild22,1788943800,0.35
tcbuild22,1788943860,0.35
tcbuild22,1788943920,0.35
tcbuild22,1788943980,0.35
tcbuild22,1788944040,0.35
tcbuild22,1788944100,0.35
tcbuild22,1788944160,0.35
tcbuild22,1788944220,0.35
tcbuild22,1788944280,0.35
tcbuild22,1788944340,0.35
tcbuild22,1788944400,0.35
tcbuild23,1788940800,0.30
tcbuild23,1788940860,0.30
tcbuild23,1788940920,0.30
tcbuild23,1788940980,0.30
tcbuild23,1788941040,0.30
tcbuild23,1788941100,0.30
tcbuild23,1788941160,0.30
tcbuild23,1788941220,0.30
tcbuild23,1788941280,0.30
tcbuild23,1788941340,0.30
tcbuild23,1788941400,0.30
tcbuild23,1788941460,0.30
tcbuild23,1788941520,0.30
tcbuild23,1788941580,0.30
tcbuild23,1788941640,0.30
tcbuild23,1788941700,0.30
tcbuild23,1788941760,0.30
tcbuild23,1788941820,0.30
tcbuild23,1788941880,0.12
tcbuild23,1788941940,0.12
tcbuild23,1788942000,0.12
tcbuild23,1788942060,0.12
tcbuild23,1788942120,0.12
tcbuild23,1788942180,0.12
tcbuild23,1788942240,0.12
tcbuild23,1788942300,0.12
tcbuild23,1788942360,0.12
tcbuild23,1788942420,0.12
tcbuild23,1788942480,0.12
tcbuild23,1788942540,0.12
tcbuild23,1788942600,0.12
tcbuild23,1788942660,0.12
tcbuild23,1788942720,0.12
tcbuild23,1788942780,0.12
tcbuild23,1788942840,0.12
tcbuild23,1788942900,0.12
tcbuild23,1788942960,0.12
tcbuild23,1788943020,0.12
tcbuild23,1788943080,0.12
tcbuild23,1788943140,0.12
tcbuild23,1788943200,0.12
tcbuild23,1788943260,0.12
tcbuild23,1788943320,0.12
tcbuild23,1788943380,0.30
tcbuild23,1788943440,0.30
tcbuild23,1788943500,0.30
tcbuild23,1788943560,0.30
tcbuild23,1788943620,0.30
tcbuild23,1788943680,0.30
tcbuild23,1788943740,0.30
tcbuild23,1788943800,0.30
tcbuild23,1788943860,0.30
tcbuild23,1788943920,0.30
tcbuild23,1788943980,0.30
tcbuild23,1788944040,0.30
tcbuild23,1788944100,0.30
tcbuild23,1788944160,0.30
tcbuild23,1788944220,0.30
tcbuild23,1788944280,0.30
tcbuild23,1788944340,0.30
tcbuild23,1788944400,0.30
tcbuild24,1788940800,0.30
tcbuild24,1788940860,0.30
tcbuild24,1788940920,0.30
tcbuild24,1788940980,0.30
tcbuild24,1788941040,0.30
tcbuild24,1788941100,0.30
tcbuild24,1788941160,0.30
tcbuild24,1788941220,0.30
tcbuild24,1788941280,0.30
tcbuild24,1788941340,0.30
tcbuild24,1788941400,0.30
tcbuild24,1788941460,0.30
tcbuild24,1788941520,0.30
tcbuild24,1788941580,0.30
tcbuild24,1788941640,0.30
tcbuild24,1788941700,0.30
tcbuild24,1788941760,0.30
tcbuild24,1788941820,0.30
tcbuild24,1788941880,0.12
tcbuild24,1788941940,0.12
tcbuild24,1788942000,0.12
tcbuild24,1788942060,0.12
tcbuild24,1788942120,0.12
tcbuild24,1788942180,0.12
tcbuild24,1788942240,0.12
tcbuild24,1788942300,0.12
tcbuild24,1788942360,0.12
tcbuild24,1788942420,0.12
tcbuild24,1788942480,0.12
tcbuild24,1788942540,0.12
tcbuild24,1788942600,0.12
tcbuild24,1788942660,0.12
tcbuild24,1788942720,0.12
tcbuild24,1788942780,0.12
tcbuild24,1788942840,0.12
tcbuild24,1788942900,0.12
tcbuild24,1788942960,0.12
tcbuild24,1788943020,0.12
tcbuild24,1788943080,0.12
tcbuild24,1788943140,0.12
tcbuild24,1788943200,0.12
tcbuild24,1788943260,0.12
tcbuild24,1788943320,0.12
tcbuild24,1788943380,0.30
tcbuild24,1788943440,0.30
tcbuild24,1788943500,0.30
tcbuild24,1788943560,0.30
tcbuild24,1788943620,0.30
tcbuild24,1788943680,0.30
tcbuild24,1788943740,0.30
tcbuild24,1788943800,0.30
tcbuild24,1788943860,0.30
tcbuild24,1788943920,0.30
tcbuild24,1788943980,0.30
tcbuild24,1788944040,0.30
tcbuild24,1788944100,0.30
tcbuild24,1788944160,0.30
tcbuild24,1788944220,0.30
tcbuild24,1788944280,0.30
tcbuild24,1788944340,0.30
tcbuild24,1788944400,0.30
tcbuild25,1788940800,0.22
tcbuild25,1788940860,0.22
tcbuild25,1788940920,0.22
tcbuild25,1788940980,0.22
tcbuild25,1788941040,0.22
tcbuild25,1788941100,0.22
tcbuild25,1788941160,0.22
tcbuild25,1788941220,0.22
tcbuild25,1788941280,0.22
tcbuild25,1788941340,0.22
tcbuild25,1788941400,0.22
tcbuild25,1788941460,0.22
tcbuild25,1788941520,0.22
tcbuild25,1788941580,0.22
tcbuild25,1788941640,0.22
tcbuild25,1788941700,0.22
tcbuild25,1788941760,0.22
tcbuild25,1788941820,0.22
tcbuild25,1788941880,0.22
tcbuild25,1788941940,0.22
tcbuild25,1788942000,0.22
tcbuild25,1788942060,0.22
tcbuild25,1788942120,0.22
tcbuild25,1788942180,0.22
tcbuild25,1788942240,0.22
tcbuild25,1788942300,0.22
tcbuild25,1788942360,0.22
tcbuild25,1788942420,0.22
tcbuild25,1788942480,0.22
tcbuild25,1788942540,0.22
tcbuild25,1788942600,0.22
tcbuild25,1788942660,0.22
tcbuild25,1788942720,0.22
tcbuild25,1788942780,0.22
tcbuild25,1788942840,0.22
tcbuild25,1788942900,0.22
tcbuild25,1788942960,0.22
tcbuild25,1788943020,0.22
tcbuild25,1788943080,0.22
tcbuild25,1788943140,0.22
tcbuild25,1788943200,0.22
tcbuild25,1788943260,0.22
tcbuild25,1788943320,0.22
tcbuild25,1788943380,0.22
tcbuild25,1788943440,0.22
tcbuild25,1788943500,0.22
tcbuild25,1788943560,0.22
tcbuild25,1788943620,0.22
tcbuild25,1788943680,0.22
tcbuild25,1788943740,0.22
tcbuild25,1788943800,0.22
tcbuild25,1788943860,0.22
tcbuild25,1788943920,0.22
tcbuild25,1788943980,0.22
tcbuild25,1788944040,0.22
tcbuild25,1788944100,0.22
tcbuild25,1788944160,0.22
tcbuild25,1788944220,0.22
tcbuild25,1788944280,0.22
tcbuild25,1788944340,0.22
tcbuild25,1788944400,0.22
tcbuild26,1788940800,0.22
tcbuild26,1788940860,0.22
