accruedInterest,allocationStatus,book,clearingHouse,comments,commission,confirmationStatus,counterparty,counterpartyCountry,counterpartyId,counterpartyType,createdDate,currency,cusip,dV01,dealId,delta,desk,duration,exchange,externalOrderId,fees,gamma,instrumentId,instrumentName,instrumentType,isElectronic,isin,lastModifiedDate,maturityDate,notional,pV01,parentOrderId,platformOrderId,portfolio,price,prime,productType,quantity,settlementAmount,settlementDate,settlementStatus,side,status,strategy,ticker,tradeDate,trader,traderId,valueDate,vega,venue,yield
,Unallocated,Equity Trading,DTCC,,50.56,Pending,Morgan Stanley,CA,CP5000517,Broker,2024-12-05T17:45:03.2502619+00:00,CHF,256286053,69.26,D1000000,0.0328,Desk_8,3.08,AMEX,EXT3000000,16.01,0.0186,INS_MSFT,Microsoft Corporation,Equity,false,US561630511,2024-12-05T19:28:03.2502619+00:00,,273516.46,906.21,,PO2000000,Portfolio_2,112.93,,Option,2422,273583.03,2024-12-07T18:01:03.2502619+00:00,Settled,Buy,Settled,Hedging,MSFT,2024-12-05T18:01:03.2502619+00:00,Alice Williams,T6039,2024-12-07T18:01:03.2502619+00:00,2.08,ARCA,2.916
,Unallocated,Derivatives,DTCC,,5.08,Confirmed,Barclays,JP,CP5000218,Broker,2023-09-12T17:15:03.2502619+01:00,CHF,229281836,82.88,D1000001,-0.9742,Desk_1,6.54,NYSE,EXT3000001,21.02,0.0003,INS_BAC,Bank of America Corp.,Financial,false,US683331316,2023-09-12T18:36:03.2502619+01:00,,1316611.45,8.95,,PO2000001,Portfolio_2,216.37,,Option,6085,1316637.55,2023-09-13T18:01:03.2502619+01:00,Settled,Sell,Pending,Directional,BAC,2023-09-12T18:01:03.2502619+01:00,Jane Doe,T6006,2023-09-14T18:01:03.2502619+01:00,3.19,BATS,0.173
,Unallocated,FX Trading,DTCC,,71.07,Confirmed,Citi,UK,CP5000333,Institution,2024-06-19T17:07:03.2502619+01:00,EUR,117470949,65.08,D1000002,-0.9516,Desk_7,0.27,AMEX,EXT3000002,8.12,0.0345,INS_BAC,Bank of America Corp.,Financial,true,US761594636,2024-06-19T19:11:03.2502619+01:00,,1371328.53,989.83,,PO2000002,Portfolio_10,143.13,,ETF,9581,1371407.72,2024-06-20T18:01:03.2502619+01:00,Unsettled,Buy,Pending,Flow Trading,BAC,2024-06-19T18:01:03.2502619+01:00,John Smith,T6021,2024-06-21T18:01:03.2502619+01:00,46.45,IEX,1.099
,Unallocated,Prime Services,DTCC,,54.53,Pending,JP Morgan,US,CP5000297,Broker,2023-10-22T17:58:03.2502619+01:00,CHF,314266288,12.19,D1000003,0.1964,Desk_8,4.45,AMEX,EXT3000003,31.72,0.0391,INS_AMZN,Amazon.com Inc.,Equity,false,US906305233,2023-10-22T19:42:03.2502619+01:00,2023-11-22T18:01:03.2502619+00:00,1031233.04,712.48,,PO2000003,Portfolio_15,121.78,,Option,8468,1031319.29,2023-10-24T18:01:03.2502619+01:00,Settled,Buy,Executed,Market Making,AMZN,2023-10-22T18:01:03.2502619+01:00,Jane Doe,T6093,2023-10-24T18:01:03.2502619+01:00,44.05,Direct,1.741
822.33,Unallocated,Prime Services,LCH,,54.22,Confirmed,Barclays,FR,CP5000280,Broker,2023-12-16T17:37:03.2502619+00:00,CHF,967510964,80.51,D1000004,0.7602,Desk_3,9.43,AMEX,EXT3000004,30.8,0.0779,INS_JNJ,Johnson & Johnson,Equity,true,US919618871,2023-12-16T18:16:03.2502619+00:00,,259681.95,420.51,,PO2000004,Portfolio_13,143.55,JP Morgan,Cash Equity,1809,259766.97,2023-12-17T18:01:03.2502619+00:00,Settled,Sell,Confirmed,Market Making,JNJ,2023-12-16T18:01:03.2502619+00:00,Charlie Brown,T6024,2023-12-18T18:01:03.2502619+00:00,47.67,IEX,2.333
,Allocated,Derivatives,LCH,,21.44,Confirmed,Morgan Stanley,DE,CP5000270,Institution,2025-03-16T17:29:03.2502619+00:00,EUR,278696043,61.28,D1000005,-0.2258,Desk_4,4.71,AMEX,EXT3000005,15.68,0.0956,INS_AMZN,Amazon.com Inc.,Equity,true,US623565822,2025-03-16T19:35:03.2502619+00:00,,19910.59,593.05,,PO2000005,Portfolio_13,32.27,,Bond,617,19947.71,2025-03-18T18:01:03.2502619+00:00,Unsettled,Sell,Cancelled,Flow Trading,AMZN,2025-03-16T18:01:03.2502619+00:00,Bob Johnson,T6045,2025-03-18T18:01:03.2502619+00:00,3.93,Direct,4.403
,Unallocated,Equity Trading,DTCC,,52.19,Confirmed,JP Morgan,FR,CP5000605,Institution,2025-05-17T17:05:03.2502619+01:00,JPY,406720897,15.54,D1000006,-0.6337,Desk_3,9.45,NASDAQ,EXT3000006,18.25,0.0644,INS_TSLA,Tesla Inc.,Equity,true,US127780872,2025-05-17T19:31:03.2502619+01:00,2025-12-17T18:01:03.2502619+00:00,148026.52,350.99,,PO2000006,Portfolio_3,284.12,,Future,521,148096.96,2025-05-19T18:01:03.2502619+01:00,Unsettled,Buy,Cancelled,Flow Trading,TSLA,2025-05-17T18:01:03.2502619+01:00,Jane Doe,T6066,2025-05-19T18:01:03.2502619+01:00,5.43,IEX,0.901
,Unallocated,Prime Services,DTCC,Special handling required,54.04,Confirmed,Morgan Stanley,DE,CP5000589,Institution,2024-06-13T17:21:03.2502619+01:00,USD,977269270,46.13,D1000007,-0.3821,Desk_4,4.14,AMEX,EXT3000007,40.65,0.0484,INS_MSFT,Microsoft Corporation,Equity,false,US689209807,2024-06-13T18:50:03.2502619+01:00,,313905.15,953.03,,PO2000007,Portfolio_1,134.55,,Option,2333,313999.84,2024-06-15T18:01:03.2502619+01:00,Settled,Sell,Executed,Directional,MSFT,2024-06-13T18:01:03.2502619+01:00,David Lee,T6050,2024-06-15T18:01:03.2502619+01:00,35.73,Direct,0.478
,Unallocated,Prime Services,DTCC,Special handling required,15.4,Pending,Morgan Stanley,CH,CP5000109,Broker,2025-05-11T17:41:03.2502619+01:00,GBP,914242692,5.02,D1000008,-0.9979,Desk_4,5.3,NASDAQ,EXT3000008,18.86,0.0651,INS_GS,Goldman Sachs Group Inc.,Financial,true,US198150187,2025-05-11T18:09:03.2502619+01:00,,2186763.28,544.34,,PO2000008,Portfolio_16,237.64,,Bond,9202,2186797.54,2025-05-13T18:01:03.2502619+01:00,Settled,Sell,Settled,Flow Trading,GS,2025-05-11T18:01:03.2502619+01:00,John Smith,T6023,2025-05-13T18:01:03.2502619+01:00,4.71,ARCA,3.934
195.74,Unallocated,Equity Trading,LCH,,81.4,Pending,Morgan Stanley,FR,CP5000820,Broker,2025-03-08T17:13:03.2502619+00:00,USD,268034352,51.24,D1000009,0.9368,Desk_8,6.57,AMEX,EXT3000009,22.19,0.0031,INS_WMT,Walmart Inc.,Equity,false,US863100553,2025-03-08T19:53:03.2502619+00:00,,3214138.32,883.18,P4000811,PO2000009,Portfolio_17,332.52,,Future,9666,3214241.91,2025-03-10T18:01:03.2502619+00:00,Settled,Buy,Confirmed,Arbitrage,WMT,2025-03-08T18:01:03.2502619+00:00,David Lee,T6091,2025-03-10T18:01:03.2502619+00:00,27.7,NYSE,1.588
